,,,,,,,,,,,,,,
TERMICAS,,OUTLET,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
TPC-SD8420P-B25Z30,,Domo PTZ Termico OUTLET,DAHUA,"472,00","472,00","472,00",21,1,0,0,0,0,0,1
TPC-KF2241-TB2F2-S3,,Thermal Datacenter OUTLET,DAHUA,"601,80","601,80","601,80",21,0,0,0,0,0,3,3
TPC-BF2241-B3F4-DW-BNC-S2,,Thermal IPC Hybrid OUTLET,DAHUA,"630,00","630,00","630,00",21,13,0,0,0,0,0,13
,,,,,,,,,,,,,,
TERMICAS,,RADIOMETRICAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
TPC-BF5600T,,Térmica Fija 640x512 19mm,DAHUA,"472,00","472,00","472,00",21,0,9,0,0,0,0,9
